Day,Order sumary,,,,,Totals
Sunday,Item,Quantity,Item Price,Total Cost of Item,Total,"$1,241.80 "
,501,30,$6.50 ,$195.00 ,,
,502,23,$5.50 ,$126.50 ,,
,503,18,$4.50 ,$81.00 ,,
,504,11,$2.50 ,$27.50 ,,
,505,3,$5.00 ,$15.00 ,,
,506,4,$32.00 ,$128.00 ,,
,507,22,$0.75 ,$16.50 ,,
,508,13,$4.75 ,$61.75 ,,
,509,33,$7.50 ,$247.50 ,,
,510,16,$3.75 ,$60.00 ,,
,511,9,$4.50 ,$40.50 ,,
,512,6,$3.50 ,$21.00 ,,
,513,88,$0.10 ,$8.80 ,,
,514,34,$1.50 ,$51.00 ,,
,515,18,$1.50 ,$27.00 ,,
,516,4,$1.50 ,$6.00 ,,
,517,26,$1.75 ,$45.50 ,,
,518,41,$1.25 ,$51.25 ,,
,519,16,$2.00 ,$32.00 ,,
,,,,,,
Monday,Item,Quantity,Item Price,Total Cost of Item,Total,"$1,258.65 "
,501,17,$6.50 ,$110.50 ,,
,502,28,$5.50 ,$154.00 ,,
,503,19,$4.50 ,$85.50 ,,
,504,16,$2.50 ,$40.00 ,,
,505,7,$5.00 ,$35.00 ,,
,506,2,$32.00 ,$64.00 ,,
,507,22,$0.75 ,$16.50 ,,
,508,4,$4.75 ,$19.00 ,,
,509,37,$7.50 ,$277.50 ,,
,510,28,$3.75 ,$105.00 ,,
,511,11,$4.50 ,$49.50 ,,
,512,7,$3.50 ,$24.50 ,,
,513,49,$0.10 ,$4.90 ,,
,514,33,$1.50 ,$49.50 ,,
,515,24,$1.50 ,$36.00 ,,
,516,9,$1.50 ,$13.50 ,,
,517,28,$1.75 ,$49.00 ,,
,518,47,$1.25 ,$58.75 ,,
,519,33,$2.00 ,$66.00 ,,
,,,,,,
Tuesday,Item,Quantity,Item Price,Total Cost of Item,Total,"$1,378.50 "
,501,22,$6.50 ,$143.00 ,,
,502,28,$5.50 ,$154.00 ,,
,503,22,$4.50 ,$99.00 ,,
,504,17,$2.50 ,$42.50 ,,
,505,10,$5.00 ,$50.00 ,,
,506,8,$32.00 ,$256.00 ,,
,507,33,$0.75 ,$24.75 ,,
,508,10,$4.75 ,$47.50 ,,
,509,28,$7.50 ,$210.00 ,,
,510,10,$3.75 ,$37.50 ,,
,511,2,$4.50 ,$9.00 ,,
,512,0,$3.50 ,$0.00 ,,
,513,40,$0.10 ,$4.00 ,,
,514,56,$1.50 ,$84.00 ,,
,515,17,$1.50 ,$25.50 ,,
,516,14,$1.50 ,$21.00 ,,
,517,33,$1.75 ,$57.75 ,,
,518,44,$1.25 ,$55.00 ,,
,519,29,$2.00 ,$58.00 ,,
,,,,,,
Wednesday,Item,Quantity,Item Price,Total Cost of Item,Total,"$1,847.20 "
,501,33,$6.50 ,$214.50 ,,
,502,40,$5.50 ,$220.00 ,,
,503,31,$4.50 ,$139.50 ,,
,504,22,$2.50 ,$55.00 ,,
,505,9,$5.00 ,$45.00 ,,
,506,4,$32.00 ,$128.00 ,,
,507,27,$0.75 ,$20.25 ,,
,508,15,$4.75 ,$71.25 ,,
,509,60,$7.50 ,$450.00 ,,
,510,28,$3.75 ,$105.00 ,,
,511,9,$4.50 ,$40.50 ,,
,512,3,$3.50 ,$10.50 ,,
,513,72,$0.10 ,$7.20 ,,
,514,61,$1.50 ,$91.50 ,,
,515,33,$1.50 ,$49.50 ,,
,516,9,$1.50 ,$13.50 ,,
,517,34,$1.75 ,$59.50 ,,
,518,58,$1.25 ,$72.50 ,,
,519,27,$2.00 ,$54.00 ,,
,,,,,,
Thursday,Item,Quantity,Item Price,Total Cost of Item,Total,"$2,051.90 "
,501,34,$6.50 ,$221.00 ,,
,502,40,$5.50 ,$220.00 ,,
,503,27,$4.50 ,$121.50 ,,
,504,39,$2.50 ,$97.50 ,,
,505,11,$5.00 ,$55.00 ,,
,506,4,$32.00 ,$128.00 ,,
,507,31,$0.75 ,$23.25 ,,
,508,20,$4.75 ,$95.00 ,,
,509,66,$7.50 ,$495.00 ,,
,510,28,$3.75 ,$105.00 ,,
,511,11,$4.50 ,$49.50 ,,
,512,5,$3.50 ,$17.50 ,,
,513,94,$0.10 ,$9.40 ,,
,514,89,$1.50 ,$133.50 ,,
,515,20,$1.50 ,$30.00 ,,
,516,19,$1.50 ,$28.50 ,,
,517,35,$1.75 ,$61.25 ,,
,518,60,$1.25 ,$75.00 ,,
,519,43,$2.00 ,$86.00 ,,
,,,,,,
Friday,Item,Quantity,Item Price,Total Cost of Item,Total,"$2,442.80 "
,501,50,$6.50 ,$325.00 ,,
,502,43,$5.50 ,$236.50 ,,
,503,50,$4.50 ,$225.00 ,,
,504,27,$2.50 ,$67.50 ,,
,505,20,$5.00 ,$100.00 ,,
,506,10,$32.00 ,$320.00 ,,
,507,27,$0.75 ,$20.25 ,,
,508,19,$4.75 ,$90.25 ,,
,509,59,$7.50 ,$442.50 ,,
,510,43,$3.75 ,$161.25 ,,
,511,11,$4.50 ,$49.50 ,,
,512,4,$3.50 ,$14.00 ,,
,513,88,$0.10 ,$8.80 ,,
,514,75,$1.50 ,$112.50 ,,
,515,27,$1.50 ,$40.50 ,,
,516,10,$1.50 ,$15.00 ,,
,517,43,$1.75 ,$75.25 ,,
,518,60,$1.25 ,$75.00 ,,
,519,32,$2.00 ,$64.00 ,,
,,,,,,
Saturday,Item,Quantity,Item Price,Total Cost of Item,Total,"$3,723.25 "
,501,70,$6.50 ,$455.00 ,,
,502,62,$5.50 ,$341.00 ,,
,503,60,$4.50 ,$270.00 ,,
,504,38,$2.50 ,$95.00 ,,
,505,25,$5.00 ,$125.00 ,,
,506,17,$32.00 ,$544.00 ,,
,507,59,$0.75 ,$44.25 ,,
,508,30,$4.75 ,$142.50 ,,
,509,100,$7.50 ,$750.00 ,,
,510,52,$3.75 ,$195.00 ,,
,511,12,$4.50 ,$54.00 ,,
,512,13,$3.50 ,$45.50 ,,
,513,150,$0.10 ,$15.00 ,,
,514,110,$1.50 ,$165.00 ,,
,515,45,$1.50 ,$67.50 ,,
,516,30,$1.50 ,$45.00 ,,
,517,65,$1.75 ,$113.75 ,,
,518,115,$1.25 ,$143.75 ,,
,519,56,$2.00 ,$112.00 ,,